luminosity = 35866.211
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   

 syst_unc_metPhi_up = 0.001    0.003    0.021    0.007    0.005    0.004    0.004    0.011    0.005    0.007    0.003    0.001    0.003    0.052    0.005    0.005    0.005    0.002    0.001    0.001    0.018    0.002    0.009    0.018    0.007    0.046    0.008    0.008    0.072    0.016    0.011    0.016    0.011    0.019    0.008    0.054    0.001    0.009    0.008    0.000    0.000    0.002    0.041    0.027    0.010    0.007    0.017    0.003    0.005    0.014    0.051    0.004    0.009    0.023    0.016    0.033    0.000    0.005    0.006    0.026    0.013    0.003    0.015    0.017    0.037    0.037    0.128    0.001    0.021    0.072    0.016    0.000    0.000    0.020    0.048    0.003    0.010    0.008    0.007    0.023    0.007    0.012    0.011    0.002  
 syst_unc_metPhi_dn = 0.002    0.003    0.007    0.016    0.004    0.002    0.005    0.010    0.012    0.002    0.001    0.001    0.007    0.045    0.045    0.006    0.011    0.002    0.051    0.035    0.004    0.003    0.009    0.005    0.003    0.006    0.015    0.011    0.029    0.005    0.023    0.000    0.007    0.000    0.009    0.002    0.001    0.005    0.006    0.025    0.034    0.004    0.008    0.002    0.002    0.002    0.049    0.013    0.003    0.018    0.039    0.005    0.004    0.003    0.002    0.026    0.064    0.004    0.004    0.020    0.039    0.002    0.014    0.035    0.003    0.010    0.008    0.004    0.105    0.020    0.004    0.000    0.003    0.023    0.060    0.038    0.002    0.014    0.002    0.018    0.014    0.020    0.006    0.001  

 syst_unc_jec_up =   0.002    0.007    0.027    0.017    0.016    0.011    0.009    0.012    0.075    0.020    0.024    0.021    0.016    0.147    0.055    0.021    0.030    0.054    0.281    0.305    0.021    0.004    0.025    0.017    0.024    0.081    0.019    0.033    0.033    0.050    0.058    0.066    0.022    0.004    0.140    0.015    0.073    0.014    0.013    0.033    0.128    0.015    0.025    0.017    0.075    0.011    0.015    0.026    0.015    0.008    0.052    0.017    0.007    0.027    0.039    0.070    0.079    0.066    0.010    0.012    0.066    0.123    0.045    0.046    0.232    0.043    0.082    0.079    0.227    0.139    0.034    0.004    0.645    0.057    0.152    0.020    0.019    0.080    0.059    0.079    0.107    0.117    0.224    0.103  
 syst_unc_jec_dn =   0.006    0.005    0.027    0.035    0.079    0.001    0.025    0.046    0.004    0.009    0.016    0.021    0.024    0.083    0.010    0.022    0.029    0.007    0.100    0.209    0.037    0.003    0.011    0.049    0.129    0.009    0.005    0.012    0.017    0.194    0.012    0.020    0.020    0.098    0.273    0.045    0.085    0.014    0.027    0.047    0.081    0.007    0.016    0.019    0.025    0.014    0.008    0.022    0.031    0.019    0.025    0.015    0.008    0.012    0.012    0.077    0.218    0.036    0.022    0.022    0.004    0.231    0.036    0.097    0.103    0.053    0.500    0.095    0.175    0.184    0.013    0.146    0.038    0.028    0.142    0.103    0.104    0.020    0.176    0.165    0.069    0.460    0.017    0.175  

 syst_unc_SF_up =    0.081    0.085    0.077    0.096    0.095    0.085    0.082    0.092    0.130    0.091    0.090    0.085    0.101    0.245    0.122    0.085    0.081    0.101    0.123    0.177    0.150    0.082    0.081    0.082    0.123    0.094    0.085    0.072    0.121    0.082    0.101    0.129    0.131    0.109    0.114    0.082    0.092    0.078    0.077    0.082    0.116    0.102    0.124    0.101    0.073    0.081    0.105    0.087    0.101    0.108    0.167    0.119    0.079    0.090    0.095    0.105    0.106    0.134    0.101    0.111    0.115    0.108    0.087    0.085    0.108    0.108    0.115    0.113    0.070    0.096    0.108    0.179    0.429    0.083    0.143    0.105    0.128    0.091    0.113    0.253    0.123    0.113    0.067    0.229  
 syst_unc_SF_dn =    0.085    0.089    0.080    0.099    0.098    0.088    0.087    0.096    0.138    0.095    0.095    0.088    0.106    0.261    0.125    0.088    0.083    0.107    0.129    0.181    0.160    0.086    0.084    0.086    0.131    0.099    0.089    0.076    0.124    0.086    0.105    0.131    0.135    0.112    0.120    0.085    0.096    0.082    0.080    0.086    0.119    0.108    0.126    0.107    0.077    0.084    0.111    0.090    0.105    0.111    0.177    0.122    0.082    0.092    0.099    0.110    0.112    0.142    0.104    0.115    0.117    0.109    0.092    0.090    0.112    0.114    0.118    0.117    0.073    0.099    0.113    0.190    0.447    0.087    0.152    0.108    0.131    0.095    0.117    0.257    0.130    0.117    0.070    0.233  

## note : for special usage 
# fin_TF_to_mu =      1.373    1.199    1.221    1.023    1.285    1.280    1.476    1.253    1.203    1.050    1.196    1.189    1.267    0.539    0.964    1.130    1.296    1.337    1.394    0.641    1.072    1.314    1.269    1.328    1.302    0.961    1.161    1.523    1.182    1.122    0.988    0.988    0.730    1.484    0.902    1.005    0.881    1.392    1.444    1.636    0.905    1.203    1.052    1.400    2.769    1.408    1.218    1.010    0.925    0.840    0.728    1.177    1.236    1.310    0.878    1.002    1.715    1.144    0.883    0.834    1.248    1.151    1.178    1.300    1.346    1.048    1.865    1.684    0.827    1.108    0.936    0.884    0.317    1.216    0.976    1.075    0.839    1.129    1.152    0.589    0.853    1.056    0.985    0.364  
# fin_TFerr_to_mu =   0.019    0.066    0.133    0.215    0.221    0.023    0.086    0.138    0.200    0.046    0.064    0.116    0.204    0.166    0.178    0.141    0.169    0.366    0.545    0.267    0.229    0.026    0.084    0.174    0.258    0.283    0.067    0.202    0.297    0.390    0.180    0.147    0.158    0.424    0.272    0.394    0.414    0.072    0.160    0.411    0.410    0.095    0.141    0.307    0.678    0.099    0.126    0.229    0.046    0.092    0.156    0.356    0.094    0.171    0.185    0.234    0.480    0.398    0.044    0.094    0.272    0.435    0.102    0.202    0.345    0.172    0.682    0.699    0.369    0.452    0.144    0.268    0.130    0.193    0.248    0.127    0.176    0.179    0.367    0.169    0.208    0.464    0.492    0.154  

# fin_TF_to_ele =     1.678    1.633    1.526    1.061    1.415    1.527    1.629    1.493    1.560    1.209    1.496    1.506    1.262    0.823    0.965    1.241    1.236    0.868    1.178    1.593    1.099    1.662    1.675    1.603    2.237    1.750    1.424    1.732    1.337    1.074    0.955    1.226    0.827    1.333    0.650    1.648    0.784    1.769    1.981    1.960    2.328    1.623    1.479    1.453    1.897    1.655    1.246    1.216    1.064    1.004    0.529    1.451    1.552    1.193    1.075    0.880    1.527    0.715    1.051    1.014    0.975    1.152    1.451    1.504    1.563    1.213    1.816    2.431    1.234    2.073    1.243    1.742    0.297    1.559    0.972    1.040    1.410    1.400    1.767    1.224    0.817    2.028    1.191    1.687  
# fin_TFerr_to_ele =  0.024    0.096    0.177    0.212    0.264    0.028    0.098    0.171    0.275    0.055    0.085    0.157    0.215    0.185    0.182    0.158    0.170    0.231    0.445    0.598    0.262    0.035    0.119    0.221    0.479    0.586    0.086    0.231    0.325    0.386    0.181    0.199    0.190    0.409    0.308    0.755    0.376    0.098    0.243    0.502    1.236    0.137    0.210    0.325    0.608    0.121    0.160    0.384    0.054    0.114    0.111    0.466    0.127    0.156    0.228    0.194    0.416    0.268    0.054    0.120    0.214    0.407    0.133    0.256    0.404    0.208    0.709    0.939    0.598    0.874    0.204    0.617    0.128    0.270    0.252    0.151    0.289    0.227    0.560    0.235    0.212    0.785    0.618    0.527  

